T.S. Velu | AIADMK | Chengam
Agri Krishnamoorthy | AIADMK | Kalasapakkam
L. Jayasudha | AIADMK | Arani
N. Subramanian | AIADMK | Cheyyar
P. Rani | AIADMK | Vandavasi
P. Murugan | AIADMK | Vanur
S Palanisamy | AIADMK | Tirukkoyilur
Rakesh | AIADMK | Sankarapuram
Rajiv gandhi | AIADMK | Kallakurichi
Udharani | AIADMK | Yercaud
Vetrivel | AIADMK | Sankari
Balaji Sukumar | AIADMK | Veerapandi
Sridevi | AIADMK | Namakkal
R. Manoharan | AIADMK | Erode (East)
Sathyabama | AIADMK | Dharapuram (SC)
NSN Nataraj | AIADMK | Kangayam
Haribaskar | AIADMK | Anthiyur
VP Prabhu | AIADMK | Gobichettipalayam
Ramu | AIADMK | Coonoor
O.K. Chinnaraj | AIADMK | Mettuppalayam
Paramasivam | AIADMK | Palladam
Lakshmana Singh | AIADMK | Valparai
Udumalai Radhakrishnan | AIADMK | Udumalaipettai
Vishwanathan | AIADMK | Athoor
S Divya | AIADMK | Krishnarayapuram
S Karunakaran | AIADMK | Kulithalai
BL Vijayakumar | AIADMK | Manapparai
R Manoharan | AIADMK | Srirangam
Leema Rose | AIADMK | Lalgudi
E Saroja | AIADMK | Thuraiyur
Ilambai R Tamilselvan | AIADMK | Perambalur
Tamarai S. Rajendran | AIADMK | Ariyalur
K Mohan | AIADMK | Panruti
Buvanendran | AIADMK | Kurinjipadi
M. Sakthi | AIADMK | Sirkazhi
Baladhandayudham | AIADMK | Thiruthuraipoondi
Ilamathi Subramanian | AIADMK | Thiruvidaimarudur
Shanmugaprabu | AIADMK | Papanasam
C.V. Sekar | AIADMK | Pattukkottai
Govi Elango | AIADMK | Peravurani
Sellur K.raju | AIADMK | Madurai West
V.V. Rajan Chellapa | AIADMK | Thiruparankundram
Senthil Nathan | MDMK | Modakkurichi
Senthil Selvan | MDMK | Sirkazhi
Rajendran | MDMK | Kadayanallur
Sekar | PMK | Ambattur
K. Saravanan | PMK | Sholingur
Padi V. Selvam | PMK | Pennagaram
Sowmiya Anbumani | PMK | Dharmapuri
CR Bhaskaran | PMK | Polur
Ganesh | PMK | Gingee
A.P. Chezhiyan | PMK | Rishivandiyam
Karthi | PMK | Salem (West)
Vaithi | PMK | Jayankondam
Tamilarasi Aathimoolam | PMK | Vridhachalam
Anbu Chozhan | PMK | Kattumannarkoil(SC)
Sithamalli A.palanisamy | PMK | Mayiladuthurai
Panneer Doss | VCK | Thiruporur
Ezhil Caroline | VCK | Arakkonam
Vanniarasu | VCK | Tindivanam
Malathi | VCK | Kallakurichi
Abdul Rahman | VCK | Panruti
Thol. Thirumavalavan | VCK | Kattumannarkoil(SC)
Aatral Arasu | VCK | Periyakulam
S. Vijayakumar | TVK | Gummidipoondi
Dr. M S Ravi | TVK | Ponneri
Dr. Sathyakumar | TVK | Tiruttani
Dr. Arunkumar | TVK | Thiruvallur
R. Prakasam | TVK | Poonamallee
R. Rameshkumar | TVK | Avadi
P. Revanth Saran | TVK | Maduravoyal
G. Balamurugan | TVK | Ambattur
M. L. Vijay Prabhu | TVK | Madavaram
Maria Wilson | TVK | Dr.Radhakrishnan Nagar
C Joseph Vijay | TVK | Perambur
VS Babu | TVK | Kolathur
Adhav Arjuna | TVK | Villivakkam
M R Pallavi | TVK | Thiru-Vi-Ka-Nagar
Rajmohan | TVK | Egmore
K V Vijayathamu | TVK | Royapuram
Sinora P.S.Ashok | TVK | Harbour
D. Selvam | TVK | Chepauk-Thiruvallikeni
JCD Prbhakar | TVK | Thousand Lights
V K Ramkumar | TVK | Anna Nagar
Sabarinathan | TVK | Virugampakkam
M. Arulprakasham | TVK | Saidapet
Bussy N Anand | TVK | Thiyagarayanagar
Venkatramanan | TVK | Mylapore
R. Kumar | TVK | Velachery
P. Saravanamoorthy | TVK | Shozhinganallur
M . Harish | TVK | Alandur
K . Thennarasu | TVK | Sriperumbudur
J. Kamatchi | TVK | Pallavaram
Sarathkumar | TVK | Tambaram
S. Thiyagarajan | TVK | Chengalpattu
Vijayaraj | TVK | Thiruporur
K Mohanraja | TVK | Cheyyur
Ezhil Kethrin | TVK | Madurantakam
Munirathinam | TVK | Uthiramerur
R. V . Ranjithkumar | TVK | Kancheepuram
V. Gandhiraj | TVK | Arakkonam
G. Kapil | TVK | Sholingur
Dhaheera | TVK | Ranipet
G. Vijaymohan | TVK | Arcot
M.M. Vinoth Kannan | TVK | Vellore
R. Velmurugan | TVK | Anaikattu
E. Thendral Kumar | TVK | Kilvaithinankuppam
K. Sindhu | TVK | Gudiyattam
S. Sayed Burkhan | TVK | Vaniyambadi
P. Imdhiyas | TVK | Ambur
C. Munisamy | TVK | Jolarpet
Dr. M. Thiruppathi | TVK | Tirupattur
B. Kumaravel | TVK | Uthangarai
E. Muralidharan | TVK | Bargur
Muhundh R. Pandian | TVK | Krishnagiri
Sambangi | TVK | Veppanahalli
M. Ambarish | TVK | Hosur
G. Suresh | TVK | Thalli
R. Gopi | TVK | Palacode
Kajendran | TVK | Pennagaram
M. Sivan | TVK | Dharmapuri
S. Thilavathi | TVK | Pappireddippatti
K. Rakesh | TVK | Harur
K Bharathidhasan | TVK | Chengam
Arul Arumugam | TVK | Tiruvannamalai
D Raja | TVK | Kilpennathur
C.Elumalai | TVK | Kalasapakkam
R.Abishek | TVK | Polur
A.Venkatesan Kumar | TVK | Arani
Udhayakumar | TVK | Vandavasi
V.Chandrasekaran | TVK | Gingee
A.Vijay Niranjan | TVK | Mailam
S.Sakthivel | TVK | Tindivanam
G.P.Suresh | TVK | Vanur
N.Mohanraj | TVK | Villupuram
A. Vijay Vadivel | TVK | Vikravandi
Barani Balaji | TVK | Tirukkoyilur
M .Sudhakar | TVK | Ulundurpettai
G. Ashokkumar | TVK | Rishivandiyam
C. Arul Vignesh | TVK | Kallakurichi
V. Sujatha | TVK | Gangavalli
R. Selvabharathi | TVK | Attur
J. Lakshmi | TVK | Yercaud
R. V. Adhiyaman | TVK | Omalur
K. Selvam | TVK | Mettur
M. Arunkumar | TVK | Edappadi
Senthilkumar | TVK | Sankari
S.Lakshmanan | TVK | Salem (West)
K.Sivakumar | TVK | Salem (North)
A.Vijay Tamilan Parthiban | TVK | Salem (South)
M.S.Palanivel | TVK | Veerapandi
Lokesh Dhanapal | TVK | Rasipuram
T.S.Dileep | TVK | Namakkal
A.Nandhakumar | TVK | Paramathi-Velur
K.G. Arunraj | TVK | Tiruchengodu
C. Vijayalakshmi | TVK | Kumarapalayam
M.Vijay Balaji | TVK | Erode (East)
K.K.Anand Mohan | TVK | Erode (West)
D.Shanmugam | TVK | Modakkurichi
S. Gowri Chithra | TVK | Dharapuram (SC)
T. Mani | TVK | Kangayam
V. T . Arunachalam | TVK | Perundurai
M.P. Balakrishnan | TVK | Bhavani
M. Vijay Venkatesh | TVK | Anthiyur
V.P. Tamil Selvi | TVK | Bhavanisagar
